Date,Number of new cases
2021-09-02,18985
2021-09-03,18856
2021-09-04,18780
2021-09-05,18645
2021-09-06,17856
2021-09-07,17425
2021-09-08,18024
2021-09-09,18380
2021-09-10,18341
2021-09-11,18891
2021-09-12,18554
2021-09-13,18178
2021-09-14,17837
2021-09-15,18841
2021-09-16,19594
2021-09-17,19905
2021-09-18,20329
2021-09-19,20174
2021-09-20,19744
2021-09-21,19179
2021-09-22,19706
2021-09-23,21438
2021-09-24,21379
2021-09-25,22041
2021-09-26,22498
2021-09-27,22236
2021-09-28,21559
2021-09-29,22430
2021-09-30,23888
2021-10-01,24522
2021-10-02,25219
2021-10-03,25769
2021-10-04,25781
2021-10-05,25110
2021-10-06,25133
2021-10-07,27550
2021-10-08,27246
2021-10-09,29362
2021-10-10,28647
2021-10-11,29409
2021-10-12,28190
2021-10-13,28717
2021-10-14,31299
2021-10-15,32196
2021-10-16,33208
2021-10-17,34303
2021-10-18,34325
2021-10-19,33740
2021-10-20,34073
2021-10-21,36339
2021-10-22,37141
2021-10-23,37678
2021-10-24,35660
2021-10-25,37930
2021-10-26,36446
2021-10-27,36582
2021-10-28,40096
2021-10-29,39849
2021-10-30,40251
2021-10-31,40993
2021-11-01,40402
2021-11-02,39008